Loan_ID,Gender,Married,Dependents,Education,ApplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
LP001095,Male,No,0,Graduate,3167,74,360,Urban,N
LP001097,Male,No,1,Graduate,4692,106,360,Rural,N
LP001098,Male,Yes,0,Graduate,3500,114,360,Semiurban,Y
LP001100,Male,No,3+,Graduate,12500,320,360,Rural,N
LP001106,Male,Yes,0,Graduate,2275,105,360,Urban,Y
LP001109,Male,Yes,0,Graduate,1828,100,,Urban,N
LP001112,Female,Yes,0,Graduate,3667,144,360,Semiurban,Y
LP001114,Male,No,0,Graduate,4166,184,360,Urban,Y
LP001116,Male,No,0,Not Graduate,3748,110,360,Semiurban,Y
LP001119,Male,No,0,Graduate,3600,80,360,Urban,N
LP001120,Male,No,0,Graduate,1800,47,360,Urban,Y
LP001123,Male,Yes,0,Graduate,2400,75,360,Urban,Y
LP001131,Male,Yes,0,Graduate,3941,134,360,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,4695,96,,Urban,Y
LP001137,Female,No,0,Graduate,3410,88,,Urban,Y
LP001138,Male,Yes,1,Graduate,5649,44,360,Urban,Y
LP001144,Male,Yes,0,Graduate,5821,144,360,Urban,Y
LP001146,Female,Yes,0,Graduate,2645,120,360,Urban,N
LP001151,Female,No,0,Graduate,4000,144,360,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,1928,100,360,Semiurban,Y
LP001157,Female,No,0,Graduate,3086,120,360,Semiurban,Y
LP001164,Female,No,0,Graduate,4230,112,360,Semiurban,N
LP001179,Male,Yes,2,Graduate,4616,134,360,Urban,N
LP001186,Female,Yes,1,Graduate,11500,286,360,Urban,N
LP001194,Male,Yes,2,Graduate,2708,97,360,Semiurban,Y
LP001195,Male,Yes,0,Graduate,2132,96,360,Semiurban,Y
LP001197,Male,Yes,0,Graduate,3366,135,360,Rural,N
LP001198,Male,Yes,1,Graduate,8080,180,360,Urban,Y
LP001199,Male,Yes,2,Not Graduate,3357,144,360,Urban,Y
LP001205,Male,Yes,0,Graduate,2500,120,360,Urban,Y
LP001206,Male,Yes,3+,Graduate,3029,99,360,Urban,Y
LP001207,Male,Yes,0,Not Graduate,2609,165,180,Rural,N
LP001213,Male,Yes,1,Graduate,4945,130,360,Rural,N
LP001222,Female,No,0,Graduate,4166,116,360,Semiurban,N
LP001225,Male,Yes,0,Graduate,5726,258,360,Semiurban,N
LP001228,Male,No,0,Not Graduate,3200,126,180,Urban,N
LP001233,Male,Yes,1,Graduate,10750,312,360,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,7100,125,60,Urban,Y
LP001241,Female,No,0,Graduate,4300,136,360,Semiurban,N
LP001243,Male,Yes,0,Graduate,3208,172,360,Urban,Y
LP001245,Male,Yes,2,Not Graduate,1875,97,360,Semiurban,Y
LP001248,Male,No,0,Graduate,3500,81,300,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,4755,95,,Semiurban,N
LP001253,Male,Yes,3+,Graduate,5266,187,360,Semiurban,Y
LP001255,Male,No,0,Graduate,3750,113,480,Urban,N
LP001256,Male,No,0,Graduate,3750,176,360,Urban,N
LP001259,Male,Yes,1,Graduate,1000,110,360,Urban,N
LP001263,Male,Yes,3+,Graduate,3167,180,300,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,3333,130,360,Semiurban,Y
LP001265,Female,No,0,Graduate,3846,111,360,Semiurban,Y
LP001266,Male,Yes,1,Graduate,2395,140,360,Semiurban,Y
LP001267,Female,Yes,2,Graduate,1378,167,360,Urban,N
LP001273,Male,Yes,0,Graduate,6000,265,360,Semiurban,N
LP001275,Male,Yes,1,Graduate,3988,50,240,Urban,Y
LP001279,Male,No,0,Graduate,2366,136,360,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,3333,99,360,Semiurban,Y
LP001282,Male,Yes,0,Graduate,2500,104,360,Semiurban,Y
LP001289,Male,No,0,Graduate,8566,210,360,Urban,Y
LP001310,Male,Yes,0,Graduate,5695,175,360,Semiurban,Y
LP001316,Male,Yes,0,Graduate,2958,131,360,Semiurban,Y
LP001318,Male,Yes,2,Graduate,6250,188,180,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,3273,81,360,Urban,Y
LP001322,Male,No,0,Graduate,4133,122,360,Semiurban,Y
LP001325,Male,No,0,Not Graduate,3620,25,120,Semiurban,Y
LP001326,Male,No,0,Graduate,6782,270,360,Urban,N
LP001327,Female,Yes,0,Graduate,2484,137,360,Semiurban,Y
LP001333,Male,Yes,0,Graduate,1977,50,360,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,4188,115,180,Semiurban,Y
LP001343,Male,Yes,0,Graduate,1759,131,360,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,4288,133,180,Urban,Y
LP001349,Male,No,0,Graduate,4843,151,360,Semiurban,Y
LP001350,Male,Yes,,Graduate,13650,230,360,Urban,Y
LP001356,Male,Yes,0,Graduate,4652,170,360,Semiurban,Y
LP001357,Male,,,Graduate,3816,160,360,Urban,Y
LP001367,Male,Yes,1,Graduate,3052,100,360,Urban,Y
LP001369,Male,Yes,2,Graduate,11417,225,360,Urban,Y
LP001370,Male,No,0,Not Graduate,7333,120,360,Rural,N
LP001379,Male,Yes,2,Graduate,3800,216,360,Urban,N
LP001384,Male,Yes,3+,Not Graduate,2071,94,480,Semiurban,Y
LP001385,Male,No,0,Graduate,5316,136,360,Urban,Y
LP001387,Female,Yes,0,Graduate,2929,139,360,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,3572,152,,Rural,N
LP001392,Female,No,1,Graduate,7451,180,360,Semiurban,Y
LP001398,Male,No,0,Graduate,5050,118,360,Semiurban,Y
LP001401,Male,Yes,1,Graduate,14583,185,180,Rural,Y
LP001404,Female,Yes,0,Graduate,3167,154,360,Semiurban,Y
LP001405,Male,Yes,1,Graduate,2214,85,360,Urban,Y
LP001421,Male,Yes,0,Graduate,5568,175,360,Rural,N
LP001422,Female,No,0,Graduate,10408,259,360,Urban,Y
LP001426,Male,Yes,,Graduate,5667,180,360,Rural,Y
LP001430,Female,No,0,Graduate,4166,44,360,Semiurban,Y
LP001431,Female,No,0,Graduate,2137,137,360,Semiurban,Y
LP001432,Male,Yes,2,Graduate,2957,81,360,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,4300,194,360,Rural,Y
LP001443,Female,No,0,Graduate,3692,93,360,Rural,Y
LP001448,,Yes,3+,Graduate,23803,370,360,Rural,Y
LP001449,Male,No,0,Graduate,3865,96,360,Rural,Y
LP001451,Male,Yes,1,Graduate,10513,160,180,Urban,N
LP001465,Male,Yes,0,Graduate,6080,182,360,Rural,N
LP001469,Male,No,0,Graduate,20166,650,480,Urban,Y
LP001473,Male,No,0,Graduate,2014,74,360,Urban,Y
LP001478,Male,No,0,Graduate,2718,70,360,Semiurban,Y
LP001482,Male,Yes,0,Graduate,3459,25,120,Semiurban,Y
LP001487,Male,No,0,Graduate,4895,102,360,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,4000,290,360,Semiurban,N
LP001489,Female,Yes,0,Graduate,4583,84,360,Rural,N
LP001491,Male,Yes,2,Graduate,3316,88,360,Urban,Y
LP001492,Male,No,0,Graduate,14999,242,360,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,4200,129,360,Rural,N
LP001497,Male,Yes,2,Graduate,5042,185,360,Rural,N
LP001498,Male,No,0,Graduate,5417,168,360,Urban,Y
LP001504,Male,No,0,Graduate,6950,175,180,Semiurban,Y
LP001507,Male,Yes,0,Graduate,2698,122,360,Semiurban,Y
LP001508,Male,Yes,2,Graduate,11757,187,180,Urban,Y
LP001514,Female,Yes,0,Graduate,2330,100,360,Semiurban,Y
LP001516,Female,Yes,2,Graduate,14866,70,360,Urban,Y
LP001518,Male,Yes,1,Graduate,1538,30,360,Urban,Y
LP001519,Female,No,0,Graduate,10000,225,360,Rural,N
LP001520,Male,Yes,0,Graduate,4860,125,360,Semiurban,Y
LP001528,Male,No,0,Graduate,6277,118,360,Rural,N
LP001529,Male,Yes,0,Graduate,2577,152,360,Rural,Y
LP001531,Male,No,0,Graduate,9166,244,360,Urban,N
LP001532,Male,Yes,2,Not Graduate,2281,113,360,Rural,N
LP001535,Male,No,0,Graduate,3254,50,360,Urban,Y
LP001536,Male,Yes,3+,Graduate,39999,600,180,Semiurban,Y
LP001541,Male,Yes,1,Graduate,6000,160,360,Rural,Y
LP001543,Male,Yes,1,Graduate,9538,187,360,Urban,Y
LP001546,Male,No,0,Graduate,2980,120,360,Rural,Y
LP001552,Male,Yes,0,Graduate,4583,255,360,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,1863,98,360,Semiurban,Y
LP001562,Male,Yes,0,Graduate,7933,275,360,Urban,N
LP001565,Male,Yes,1,Graduate,3089,121,360,Semiurban,N
LP001570,Male,Yes,2,Graduate,4167,158,360,Rural,Y
LP001572,Male,Yes,0,Graduate,9323,75,180,Urban,Y
LP001574,Male,Yes,0,Graduate,3707,182,,Rural,Y
LP001577,Female,Yes,0,Graduate,4583,112,360,Rural,N
LP001578,Male,Yes,0,Graduate,2439,129,360,Rural,Y
LP001579,Male,No,0,Graduate,2237,63,480,Semiurban,N
LP001580,Male,Yes,2,Graduate,8000,200,360,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,1820,95,360,Rural,Y
LP001585,,Yes,3+,Graduate,51763,700,300,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,3522,81,180,Rural,N
LP001594,Male,Yes,0,Graduate,5708,187,360,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,4344,87,360,Semiurban,N
LP001606,Male,Yes,0,Graduate,3497,116,360,Rural,Y
LP001608,Male,Yes,2,Graduate,2045,101,360,Rural,Y
LP001610,Male,Yes,3+,Graduate,5516,495,360,Semiurban,N
LP001616,Male,Yes,1,Graduate,3750,116,360,Semiurban,Y
LP001630,Male,No,0,Not Graduate,2333,102,480,Urban,N
LP001633,Male,Yes,1,Graduate,6400,180,360,Urban,N
LP001634,Male,No,0,Graduate,1916,67,360,Rural,N
LP001636,Male,Yes,0,Graduate,4600,73,180,Semiurban,Y
LP001637,Male,Yes,1,Graduate,33846,260,360,Semiurban,N
LP001639,Female,Yes,0,Graduate,3625,108,360,Semiurban,Y
LP001640,Male,Yes,0,Graduate,39147,120,360,Semiurban,Y
LP001641,Male,Yes,1,Graduate,2178,66,300,Rural,N
LP001643,Male,Yes,0,Graduate,2383,58,360,Rural,Y
LP001644,,Yes,0,Graduate,674,168,360,Rural,Y
LP001647,Male,Yes,0,Graduate,9328,188,180,Rural,Y
LP001653,Male,No,0,Not Graduate,4885,48,360,Rural,Y
LP001656,Male,No,0,Graduate,12000,164,360,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,6033,160,360,Urban,N
LP001658,Male,No,0,Graduate,3858,76,360,Semiurban,Y
LP001664,Male,No,0,Graduate,4191,120,360,Rural,Y
LP001665,Male,Yes,1,Graduate,3125,170,360,Semiurban,N
LP001666,Male,No,0,Graduate,8333,187,360,Rural,Y
LP001669,Female,No,0,Not Graduate,1907,120,,Urban,Y
LP001671,Female,Yes,0,Graduate,3416,113,360,Semiurban,Y
LP001673,Male,No,0,Graduate,11000,83,360,Urban,N
LP001674,Male,Yes,1,Not Graduate,2600,90,360,Semiurban,Y
LP001677,Male,No,2,Graduate,4923,166,360,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,3992,40,180,Urban,N
LP001688,Male,Yes,1,Not Graduate,3500,135,360,Urban,Y
LP001691,Male,Yes,2,Not Graduate,3917,124,360,Semiurban,Y
LP001692,Female,No,0,Not Graduate,4408,120,360,Semiurban,Y
LP001693,Female,No,0,Graduate,3244,80,360,Urban,Y
LP001698,Male,No,0,Not Graduate,3975,55,360,Rural,Y
LP001699,Male,No,0,Graduate,2479,59,360,Urban,Y
LP001702,Male,No,0,Graduate,3418,127,360,Semiurban,N
LP001708,Female,No,0,Graduate,10000,214,360,Semiurban,N
LP001711,Male,Yes,3+,Graduate,3430,128,360,Semiurban,N
LP001713,Male,Yes,1,Graduate,7787,240,360,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,5703,130,360,Rural,Y
LP001716,Male,Yes,0,Graduate,3173,137,360,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,3850,100,360,Semiurban,Y
LP001722,Male,Yes,0,Graduate,150,135,360,Rural,N
LP001726,Male,Yes,0,Graduate,3727,131,360,Semiurban,Y
LP001732,Male,Yes,2,Graduate,5000,72,360,Semiurban,N
LP001734,Female,Yes,2,Graduate,4283,127,360,Semiurban,Y
LP001736,Male,Yes,0,Graduate,2221,60,360,Urban,N
LP001743,Male,Yes,2,Graduate,4009,116,360,Semiurban,Y
LP001744,Male,No,0,Graduate,2971,144,360,Semiurban,Y
LP001749,Male,Yes,0,Graduate,7578,175,,Semiurban,Y
LP001750,Male,Yes,0,Graduate,6250,128,360,Semiurban,Y
LP001751,Male,Yes,0,Graduate,3250,170,360,Rural,N
LP001754,Male,Yes,,Not Graduate,4735,138,360,Urban,N
LP001758,Male,Yes,2,Graduate,6250,210,360,Semiurban,Y
LP001760,Male,,,Graduate,4758,158,480,Semiurban,Y
LP001761,Male,No,0,Graduate,6400,200,360,Rural,Y
LP001765,Male,Yes,1,Graduate,2491,104,360,Semiurban,Y
LP001768,Male,Yes,0,Graduate,3716,42,180,Rural,Y
LP001770,Male,No,0,Not Graduate,3189,120,,Rural,Y
LP001776,Female,No,0,Graduate,8333,280,360,Semiurban,Y
LP001778,Male,Yes,1,Graduate,3155,140,360,Semiurban,Y
LP001784,Male,Yes,1,Graduate,5500,170,360,Rural,Y
LP001786,Male,Yes,0,Graduate,5746,255,360,Urban,N
LP001788,Female,No,0,Graduate,3463,122,360,Urban,Y
LP001790,Female,No,1,Graduate,3812,112,360,Rural,Y
LP001792,Male,Yes,1,Graduate,3315,96,360,Semiurban,Y
LP001798,Male,Yes,2,Graduate,5819,120,360,Rural,Y
LP001800,Male,Yes,1,Not Graduate,2510,140,180,Urban,N
LP001806,Male,No,0,Graduate,2965,155,60,Urban,Y
LP001807,Male,Yes,2,Graduate,6250,108,360,Rural,Y
LP001811,Male,Yes,0,Not Graduate,3406,123,360,Semiurban,Y
LP001813,Male,No,0,Graduate,6050,120,180,Urban,N
LP001814,Male,Yes,2,Graduate,9703,112,360,Urban,Y
LP001819,Male,Yes,1,Not Graduate,6608,137,180,Urban,Y
LP001824,Male,Yes,1,Graduate,2882,123,480,Semiurban,Y
LP001825,Male,Yes,0,Graduate,1809,90,360,Urban,Y
LP001835,Male,Yes,0,Not Graduate,1668,201,360,Semiurban,N
LP001836,Female,No,2,Graduate,3427,138,360,Urban,N
LP001841,Male,No,0,Not Graduate,2583,104,360,Rural,Y
LP001843,Male,Yes,1,Not Graduate,2661,279,180,Semiurban,Y
LP001844,Male,No,0,Graduate,16250,192,360,Urban,N
LP001846,Female,No,3+,Graduate,3083,255,360,Rural,Y
LP001849,Male,No,0,Not Graduate,6045,115,360,Rural,N
LP001854,Male,Yes,3+,Graduate,5250,94,360,Urban,N
LP001859,Male,Yes,0,Graduate,14683,304,360,Rural,N
LP001864,Male,Yes,3+,Not Graduate,4931,128,360,Semiurban,N
LP001865,Male,Yes,1,Graduate,6083,330,360,Urban,Y
LP001868,Male,No,0,Graduate,2060,134,360,Semiurban,Y
LP001870,Female,No,1,Graduate,3481,155,36,Semiurban,N
LP001871,Female,No,0,Graduate,7200,120,360,Rural,Y
LP001872,Male,No,0,Graduate,5166,128,360,Semiurban,Y
LP001875,Male,No,0,Graduate,4095,151,360,Rural,Y
LP001877,Male,Yes,2,Graduate,4708,150,360,Semiurban,Y
LP001882,Male,Yes,3+,Graduate,4333,160,360,Urban,Y
LP001883,Female,No,0,Graduate,3418,135,360,Rural,N
LP001884,Female,No,1,Graduate,2876,90,360,Urban,Y
LP001888,Female,No,0,Graduate,3237,30,360,Urban,Y
LP001891,Male,Yes,0,Graduate,11146,136,360,Urban,Y
LP001892,Male,No,0,Graduate,2833,126,360,Rural,Y
LP001894,Male,Yes,0,Graduate,2620,150,360,Semiurban,Y
LP001896,Male,Yes,2,Graduate,3900,90,360,Semiurban,Y
LP001900,Male,Yes,1,Graduate,2750,115,360,Semiurban,Y
LP001903,Male,Yes,0,Graduate,3993,207,360,Semiurban,Y
LP001904,Male,Yes,0,Graduate,3103,80,360,Urban,Y
LP001907,Male,Yes,0,Graduate,14583,436,360,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,4100,124,360,Rural,Y
LP001910,Male,No,1,Not Graduate,4053,158,360,Urban,N
LP001914,Male,Yes,0,Graduate,3927,112,360,Semiurban,Y
LP001915,Male,Yes,2,Graduate,2301,78,180,Urban,Y
LP001917,Female,No,0,Graduate,1811,54,360,Urban,Y
LP001922,Male,Yes,0,Graduate,20667,450,360,Rural,N
LP001924,Male,No,0,Graduate,3158,89,360,Rural,Y
LP001925,Female,No,0,Graduate,2600,99,300,Semiurban,N
LP001926,Male,Yes,0,Graduate,3704,120,360,Rural,Y
LP001931,Female,No,0,Graduate,4124,115,360,Semiurban,Y
LP001935,Male,No,0,Graduate,9508,187,360,Rural,Y
LP001936,Male,Yes,0,Graduate,3075,139,360,Rural,Y
LP001938,Male,Yes,2,Graduate,4400,127,360,Semiurban,N
LP001940,Male,Yes,2,Graduate,3153,134,360,Urban,Y
LP001945,Female,No,,Graduate,5417,143,480,Urban,N
LP001947,Male,Yes,0,Graduate,2383,172,360,Semiurban,Y
LP001949,Male,Yes,3+,Graduate,4416,110,360,Urban,Y
LP001953,Male,Yes,1,Graduate,6875,200,360,Semiurban,Y
LP001954,Female,Yes,1,Graduate,4666,135,360,Urban,Y
LP001955,Female,No,0,Graduate,5000,151,480,Rural,N
LP001963,Male,Yes,1,Graduate,2014,113,360,Urban,N
LP001964,Male,Yes,0,Not Graduate,1800,93,360,Urban,N
LP001972,Male,Yes,,Not Graduate,2875,105,360,Semiurban,Y
LP001974,Female,No,0,Graduate,5000,132,360,Rural,Y
LP001977,Male,Yes,1,Graduate,1625,96,360,Urban,Y
LP001978,Male,No,0,Graduate,4000,140,360,Rural,Y
LP001990,Male,No,0,Not Graduate,2000,96,360,Urban,N
LP001993,Female,No,0,Graduate,3762,135,360,Rural,Y
LP001994,Female,No,0,Graduate,2400,104,360,Urban,N
LP001996,Male,No,0,Graduate,20233,480,360,Rural,N
LP001998,Male,Yes,2,Not Graduate,7667,185,360,Rural,Y
LP002002,Female,No,0,Graduate,2917,84,360,Semiurban,Y
LP002004,Male,No,0,Not Graduate,2927,111,360,Semiurban,Y
LP002006,Female,No,0,Graduate,2507,56,360,Rural,Y
LP002008,Male,Yes,2,Graduate,5746,144,84,Rural,Y
LP002024,,Yes,0,Graduate,2473,159,360,Rural,N
LP002031,Male,Yes,1,Not Graduate,3399,111,180,Urban,Y
LP002035,Male,Yes,2,Graduate,3717,120,360,Semiurban,Y
LP002036,Male,Yes,0,Graduate,2058,88,360,Urban,Y
LP002043,Female,No,1,Graduate,3541,112,360,Semiurban,Y
LP002050,Male,Yes,1,Graduate,10000,155,360,Rural,N
LP002051,Male,Yes,0,Graduate,2400,115,360,Semiurban,Y
LP002053,Male,Yes,3+,Graduate,4342,124,360,Semiurban,Y
LP002054,Male,Yes,2,Not Graduate,3601,125,360,Rural,Y
LP002055,Female,No,0,Graduate,3166,132,360,Rural,Y
LP002065,Male,Yes,3+,Graduate,15000,300,360,Rural,Y
LP002067,Male,Yes,1,Graduate,8666,376,360,Rural,N
LP002068,Male,No,0,Graduate,4917,130,360,Rural,Y
LP002082,Male,Yes,0,Graduate,5818,184,360,Semiurban,Y
LP002086,Female,Yes,0,Graduate,4333,110,360,Urban,N
LP002087,Female,No,0,Graduate,2500,67,360,Urban,Y
LP002097,Male,No,1,Graduate,4384,117,360,Urban,Y
LP002098,Male,No,0,Graduate,2935,98,360,Semiurban,Y
LP002100,Male,No,,Graduate,2833,71,360,Urban,Y
LP002101,Male,Yes,0,Graduate,63337,490,180,Urban,Y
LP002103,,Yes,1,Graduate,9833,182,180,Urban,Y
LP002106,Male,Yes,,Graduate,5503,70,,Semiurban,Y
LP002110,Male,Yes,1,Graduate,5250,160,360,Rural,Y
LP002112,Male,Yes,2,Graduate,2500,176,360,Rural,Y
LP002113,Female,No,3+,Not Graduate,1830,100,360,Urban,N
LP002114,Female,No,0,Graduate,4160,71,360,Semiurban,Y
LP002115,Male,Yes,3+,Not Graduate,2647,173,360,Rural,N
LP002116,Female,No,0,Graduate,2378,46,360,Rural,N
LP002119,Male,Yes,1,Not Graduate,4554,158,360,Urban,Y
LP002126,Male,Yes,3+,Not Graduate,3173,74,360,Semiurban,Y
LP002128,Male,Yes,2,Graduate,2583,125,360,Rural,Y
LP002129,Male,Yes,0,Graduate,2499,160,360,Semiurban,Y
LP002130,Male,Yes,,Not Graduate,3523,152,360,Rural,N
LP002131,Male,Yes,2,Not Graduate,3083,126,360,Urban,Y
LP002137,Male,Yes,0,Graduate,6333,259,360,Semiurban,Y
LP002138,Male,Yes,0,Graduate,2625,187,360,Rural,Y
LP002139,Male,Yes,0,Graduate,9083,228,360,Semiurban,Y
LP002140,Male,No,0,Graduate,8750,308,360,Rural,N
LP002141,Male,Yes,3+,Graduate,2666,95,360,Rural,Y
LP002142,Female,Yes,0,Graduate,5500,105,360,Rural,N
LP002143,Female,Yes,0,Graduate,2423,130,360,Semiurban,Y
LP002144,Female,No,,Graduate,3813,116,180,Urban,Y
LP002149,Male,Yes,2,Graduate,8333,165,360,Rural,Y
LP002151,Male,Yes,1,Graduate,3875,67,360,Urban,N
LP002158,Male,Yes,0,Not Graduate,3000,100,480,Urban,N
LP002160,Male,Yes,3+,Graduate,5167,200,360,Semiurban,Y
LP002161,Female,No,1,Graduate,4723,81,360,Semiurban,N
LP002170,Male,Yes,2,Graduate,5000,236,360,Semiurban,Y
LP002175,Male,Yes,0,Graduate,4750,130,360,Urban,Y
LP002178,Male,Yes,0,Graduate,3013,95,300,Urban,Y
LP002180,Male,No,0,Graduate,6822,141,360,Rural,Y
LP002181,Male,No,0,Not Graduate,6216,133,360,Rural,N
LP002187,Male,No,0,Graduate,2500,96,480,Semiurban,N
LP002188,Male,No,0,Graduate,5124,124,,Rural,N
LP002190,Male,Yes,1,Graduate,6325,175,360,Semiurban,Y
LP002191,Male,Yes,0,Graduate,19730,570,360,Rural,N
LP002194,Female,No,0,Graduate,15759,55,360,Semiurban,Y
LP002197,Male,Yes,2,Graduate,5185,155,360,Semiurban,Y
LP002201,Male,Yes,2,Graduate,9323,380,300,Rural,Y
LP002205,Male,No,1,Graduate,3062,111,180,Urban,N
LP002209,Female,No,0,Graduate,2764,110,360,Urban,Y
LP002211,Male,Yes,0,Graduate,4817,120,180,Urban,Y
LP002219,Male,Yes,3+,Graduate,8750,130,360,Rural,Y
LP002223,Male,Yes,0,Graduate,4310,130,360,Semiurban,Y
LP002224,Male,No,0,Graduate,3069,71,480,Urban,N
LP002225,Male,Yes,2,Graduate,5391,130,360,Urban,Y
LP002226,Male,Yes,0,Graduate,3333,128,360,Semiurban,Y
LP002229,Male,No,0,Graduate,5941,296,360,Semiurban,Y
LP002231,Female,No,0,Graduate,6000,156,360,Urban,Y
LP002234,Male,No,0,Graduate,7167,128,360,Urban,Y
LP002236,Male,Yes,2,Graduate,4566,100,360,Urban,N
LP002237,Male,No,1,Graduate,3667,113,180,Urban,Y
LP002239,Male,No,0,Not Graduate,2346,132,360,Semiurban,Y
LP002243,Male,Yes,0,Not Graduate,3010,96,360,Urban,N
LP002244,Male,Yes,0,Graduate,2333,136,360,Urban,Y
LP002250,Male,Yes,0,Graduate,5488,125,360,Rural,Y
LP002255,Male,No,3+,Graduate,9167,185,360,Rural,Y
LP002262,Male,Yes,3+,Graduate,9504,275,360,Rural,Y
LP002263,Male,Yes,0,Graduate,2583,120,360,Urban,Y
LP002265,Male,Yes,2,Not Graduate,1993,113,180,Semiurban,Y
LP002266,Male,Yes,2,Graduate,3100,113,360,Urban,Y
LP002272,Male,Yes,2,Graduate,3276,135,360,Semiurban,Y
LP002277,Female,No,0,Graduate,3180,71,360,Urban,N
LP002281,Male,Yes,0,Graduate,3033,95,360,Urban,Y
LP002284,Male,No,0,Not Graduate,3902,109,360,Rural,Y
LP002287,Female,No,0,Graduate,1500,103,360,Semiurban,N
LP002288,Male,Yes,2,Not Graduate,2889,45,180,Urban,N
LP002296,Male,No,0,Not Graduate,2755,65,300,Rural,N
LP002297,Male,No,0,Graduate,2500,103,360,Semiurban,Y
LP002300,Female,No,0,Not Graduate,1963,53,360,Semiurban,Y
LP002301,Female,No,0,Graduate,7441,194,360,Rural,N
LP002305,Female,No,0,Graduate,4547,115,360,Semiurban,Y
LP002308,Male,Yes,0,Not Graduate,2167,115,360,Urban,Y
LP002314,Female,No,0,Not Graduate,2213,66,360,Rural,Y
LP002315,Male,Yes,1,Graduate,8300,152,300,Semiurban,N
LP002317,Male,Yes,3+,Graduate,31000,360,360,Rural,N
LP002318,Female,No,1,Not Graduate,3867,62,360,Semiurban,N
LP002319,Male,Yes,0,Graduate,6256,160,360,Urban,Y
LP002328,Male,Yes,0,Not Graduate,6096,218,360,Rural,N
LP002332,Male,Yes,0,Not Graduate,2253,110,360,Rural,Y
LP002335,Female,Yes,0,Not Graduate,2149,178,360,Semiurban,N
LP002337,Female,No,0,Graduate,2995,60,360,Urban,Y
LP002341,Female,No,1,Graduate,2600,160,360,Urban,N
LP002342,Male,Yes,2,Graduate,1600,239,360,Urban,N
LP002345,Male,Yes,0,Graduate,1025,112,360,Rural,Y
